disease	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Celiac disease	HMDB0000039;HMDB0000042;HMDB0000108;HMDB0000118;HMDB0000138;HMDB0000162;HMDB0000168;HMDB0000177;HMDB0000222;HMDB0000228;HMDB0000237;HMDB0000306;HMDB0000474;HMDB0000535;HMDB0000651;HMDB0000688;HMDB0000689;HMDB0000696;HMDB0000718;HMDB0000738;HMDB0000740;HMDB0000753;HMDB0000756;HMDB0000763;HMDB0000791;HMDB0000820;HMDB0000824;HMDB0000848;HMDB0000892;HMDB0000925;HMDB0000929;HMDB0001140;HMDB0001183;HMDB0001184;HMDB0001491;HMDB0001505;HMDB0001659;HMDB0001858;HMDB0001873;HMDB0002013;HMDB0002055;HMDB0002176;HMDB0002250;HMDB0002366;HMDB0002939;HMDB0003243;HMDB0003352;HMDB0003407;HMDB0003671;HMDB0004327;HMDB0004814;HMDB0005842;HMDB0005879;HMDB0005994;HMDB0006007;HMDB0006115;HMDB0006236;HMDB0006478;HMDB0006525;HMDB0011623;HMDB0011638;HMDB0013316;HMDB0013780;HMDB0013824;HMDB0029596;HMDB0029718;HMDB0030052;HMDB0030058;HMDB0030059;HMDB0030930;HMDB0031019;HMDB0031217;HMDB0031231;HMDB0031266;HMDB0031269;HMDB0031295;HMDB0031299;HMDB0031409;HMDB0031444;HMDB0031475;HMDB0031507;HMDB0031525;HMDB0031526;HMDB0031563;HMDB0032914;HMDB0033116;HMDB0033547;HMDB0033713;HMDB0033742;HMDB0033792;HMDB0033889;HMDB0033890;HMDB0033908;HMDB0033916;HMDB0033933;HMDB0033944;HMDB0034121;HMDB0034136;HMDB0034148;HMDB0034168;HMDB0034235;HMDB0034237;HMDB0034240;HMDB0034283;HMDB0034289;HMDB0035093;HMDB0035094;HMDB0035658;HMDB0035915;HMDB0036219;HMDB0036413;HMDB0036574;HMDB0036792;HMDB0037050;HMDB0038602;HMDB0039216;HMDB0039618;HMDB0040240;HMDB0040297;HMDB0059835;HMDB0059886;HMDB0059901;HMDB0059907;HMDB0061886;HMDB0061923	125	10	HMDB0011638;HMDB0000763;HMDB0000738;HMDB0004327;HMDB0002939;HMDB0000162;HMDB0001491;HMDB0005842;HMDB0000688;HMDB0002366	0.7329277340182713	0.0036036036036036037	1.8944282680900668	0.058467098968852986	0.058467098968852986
Very Long Chain Acyl-CoA Dehydrogenase Deficiency	HMDB0000201;HMDB0000222;HMDB0000499;HMDB0000521;HMDB0000651;HMDB0000688;HMDB0000736;HMDB0000756;HMDB0000791;HMDB0000933;HMDB0002013;HMDB0002014;HMDB0002250;HMDB0005066;HMDB0006317	15	3	HMDB0000201;HMDB0000688;HMDB0000499	0.9018558864998207	0.009746588693957114	1.5586976244682724	0.28736579143191243	0.28736579143191243
Nonalcoholic fatty liver disease	HMDB0000039;HMDB0000042;HMDB0000108;HMDB0000228;HMDB0000237;HMDB0000387;HMDB0000466;HMDB0000474;HMDB0000535;HMDB0000689;HMDB0000718;HMDB0000738;HMDB0000753;HMDB0000820;HMDB0000863;HMDB0000892;HMDB0000990;HMDB0001140;HMDB0001184;HMDB0001485;HMDB0001659;HMDB0001858;HMDB0001873;HMDB0001875;HMDB0002048;HMDB0002176;HMDB0002303;HMDB0003227;HMDB0003352;HMDB0003366;HMDB0003375;HMDB0003407;HMDB0003671;HMDB0004043;HMDB0004327;HMDB0004472;HMDB0004814;HMDB0005806;HMDB0005841;HMDB0005842;HMDB0005843;HMDB0005879;HMDB0005994;HMDB0006006;HMDB0006115;HMDB0006236;HMDB0006478;HMDB0006525;HMDB0011469;HMDB0012157;HMDB0013036;HMDB0013749;HMDB0013780;HMDB0013816;HMDB0013824;HMDB0029595;HMDB0029603;HMDB0029762;HMDB0030027;HMDB0030028;HMDB0030052;HMDB0030056;HMDB0030058;HMDB0030059;HMDB0030062;HMDB0030433;HMDB0031206;HMDB0031207;HMDB0031217;HMDB0031243;HMDB0031249;HMDB0031266;HMDB0031325;HMDB0031342;HMDB0031343;HMDB0031409;HMDB0031445;HMDB0031450;HMDB0031475;HMDB0031476;HMDB0031523;HMDB0031525;HMDB0031526;HMDB0031528;HMDB0031549;HMDB0031582;HMDB0031598;HMDB0031653;HMDB0031857;HMDB0032042;HMDB0032045;HMDB0032047;HMDB0032272;HMDB0033167;HMDB0033713;HMDB0033745;HMDB0033840;HMDB0033889;HMDB0033890;HMDB0034161;HMDB0034164;HMDB0034168;HMDB0034235;HMDB0034237;HMDB0034239;HMDB0034240;HMDB0034970;HMDB0035238;HMDB0035239;HMDB0035619;HMDB0035658;HMDB0035765;HMDB0035833;HMDB0035850;HMDB0035851;HMDB0036081;HMDB0036101;HMDB0036163;HMDB0036209;HMDB0036413;HMDB0036453;HMDB0036467;HMDB0036559;HMDB0036574;HMDB0036792;HMDB0036994;HMDB0037020;HMDB0037050;HMDB0037788;HMDB0038040;HMDB0038169;HMDB0039095;HMDB0039216;HMDB0039618;HMDB0039619;HMDB0039620;HMDB0039843;HMDB0040221;HMDB0040295;HMDB0040297;HMDB0040575;HMDB0041011;HMDB0041389;HMDB0041633;HMDB0041634;HMDB0041822;HMDB0059777;HMDB0059835;HMDB0059839;HMDB0059843;HMDB0059851;HMDB0059905;HMDB0059907;HMDB0061851;HMDB0061896;HMDB0094652	156	5	HMDB0000738;HMDB0002048;HMDB0004327;HMDB0000990;HMDB0005842	0.7604459933026135	0.036053130929791274	1.5706703271940252	0.3675631621841891	0.3675631621841891
Argininosuccinic aciduria	HMDB0000042;HMDB0000043;HMDB0000051;HMDB0000052;HMDB0000094;HMDB0000123;HMDB0000177;HMDB0000517;HMDB0000714;HMDB0000904;HMDB0000925	11	5	HMDB0000517;HMDB0000052;HMDB0000051;HMDB0000123;HMDB0000904	0.6829868142299497	0.08918406072106262	1.4106815374446566	0.37899672820476477	0.37899672820476477
Ulcerative colitis	HMDB0000011;HMDB0000012;HMDB0000014;HMDB0000017;HMDB0000020;HMDB0000033;HMDB0000034;HMDB0000036;HMDB0000039;HMDB0000042;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000056;HMDB0000058;HMDB0000060;HMDB0000064;HMDB0000089;HMDB0000092;HMDB0000094;HMDB0000097;HMDB0000099;HMDB0000108;HMDB0000112;HMDB0000122;HMDB0000123;HMDB0000128;HMDB0000130;HMDB0000131;HMDB0000133;HMDB0000138;HMDB0000139;HMDB0000148;HMDB0000149;HMDB0000157;HMDB0000158;HMDB0000159;HMDB0000161;HMDB0000162;HMDB0000164;HMDB0000167;HMDB0000168;HMDB0000172;HMDB0000175;HMDB0000177;HMDB0000182;HMDB0000187;HMDB0000190;HMDB0000191;HMDB0000195;HMDB0000201;HMDB0000209;HMDB0000210;HMDB0000214;HMDB0000224;HMDB0000226;HMDB0000228;HMDB0000230;HMDB0000237;HMDB0000239;HMDB0000247;HMDB0000251;HMDB0000254;HMDB0000258;HMDB0000267;HMDB0000292;HMDB0000296;HMDB0000299;HMDB0000300;HMDB0000306;HMDB0000317;HMDB0000462;HMDB0000466;HMDB0000472;HMDB0000474;HMDB0000482;HMDB0000510;HMDB0000517;HMDB0000535;HMDB0000555;HMDB0000562;HMDB0000577;HMDB0000619;HMDB0000623;HMDB0000626;HMDB0000630;HMDB0000641;HMDB0000651;HMDB0000661;HMDB0000666;HMDB0000673;HMDB0000684;HMDB0000687;HMDB0000689;HMDB0000696;HMDB0000714;HMDB0000715;HMDB0000718;HMDB0000719;HMDB0000725;HMDB0000738;HMDB0000756;HMDB0000763;HMDB0000764;HMDB0000791;HMDB0000792;HMDB0000819;HMDB0000820;HMDB0000824;HMDB0000845;HMDB0000847;HMDB0000863;HMDB0000883;HMDB0000888;HMDB0000892;HMDB0000898;HMDB0000904;HMDB0000906;HMDB0000910;HMDB0000925;HMDB0000926;HMDB0000929;HMDB0000951;HMDB0000990;HMDB0001049;HMDB0001051;HMDB0001140;HMDB0001183;HMDB0001184;HMDB0001257;HMDB0001406;HMDB0001414;HMDB0001453;HMDB0001485;HMDB0001488;HMDB0001548;HMDB0001659;HMDB0001844;HMDB0001858;HMDB0001873;HMDB0001875;HMDB0001906;HMDB0002176;HMDB0002199;HMDB0002303;HMDB0002322;HMDB0002714;HMDB0002939;HMDB0003119;HMDB0003227;HMDB0003243;HMDB0003315;HMDB0003334;HMDB0003339;HMDB0003345;HMDB0003355;HMDB0003366;HMDB0003375;HMDB0003407;HMDB0003424;HMDB0003543;HMDB0003671;HMDB0004158;HMDB0004160;HMDB0004259;HMDB0004327;HMDB0005842;HMDB0005879;HMDB0005994;HMDB0006006;HMDB0006007;HMDB0006115;HMDB0006236;HMDB0006478;HMDB0007103;HMDB0007175;HMDB0008591;HMDB0010730;HMDB0011469;HMDB0011500;HMDB0011502;HMDB0011503;HMDB0011749;HMDB0012275;HMDB0012798;HMDB0012971;HMDB0013036;HMDB0013627;HMDB0013639;HMDB0013780;HMDB0013785;HMDB0013809;HMDB0013811;HMDB0013824;HMDB0014389;HMDB0014447;HMDB0028757;HMDB0029106;HMDB0029167;HMDB0029595;HMDB0029596;HMDB0029597;HMDB0029600;HMDB0029603;HMDB0029638;HMDB0029641;HMDB0029728;HMDB0029751;HMDB0029762;HMDB0030028;HMDB0030052;HMDB0030058;HMDB0030059;HMDB0030062;HMDB0031019;HMDB0031206;HMDB0031207;HMDB0031217;HMDB0031230;HMDB0031231;HMDB0031243;HMDB0031265;HMDB0031266;HMDB0031294;HMDB0031299;HMDB0031317;HMDB0031343;HMDB0031409;HMDB0031445;HMDB0031450;HMDB0031475;HMDB0031482;HMDB0031491;HMDB0031523;HMDB0031525;HMDB0031526;HMDB0031528;HMDB0031548;HMDB0031549;HMDB0031582;HMDB0031598;HMDB0031872;HMDB0032076;HMDB0032619;HMDB0032914;HMDB0032972;HMDB0032980;HMDB0033002;HMDB0033119;HMDB0033167;HMDB0033182;HMDB0033547;HMDB0033620;HMDB0033713;HMDB0033889;HMDB0033890;HMDB0033910;HMDB0033944;HMDB0034168;HMDB0034220;HMDB0034233;HMDB0034235;HMDB0034240;HMDB0035226;HMDB0035238;HMDB0035289;HMDB0035619;HMDB0035765;HMDB0035850;HMDB0035915;HMDB0035924;HMDB0036081;HMDB0036100;HMDB0036209;HMDB0036413;HMDB0036467;HMDB0036574;HMDB0036792;HMDB0036994;HMDB0037020;HMDB0037050;HMDB0037051;HMDB0039095;HMDB0039618;HMDB0039620;HMDB0040272;HMDB0040297;HMDB0040726;HMDB0041389;HMDB0041971;HMDB0059810;HMDB0059835;HMDB0059848;HMDB0059851;HMDB0059899;HMDB0059901;HMDB0059905;HMDB0059907;HMDB0059924;HMDB0060602;HMDB0061851;HMDB0061869;HMDB0061892;HMDB0094666	304	37	HMDB0000517;HMDB0000763;HMDB0000738;HMDB0005842;HMDB0000158;HMDB0000123;HMDB0000254;HMDB0000122;HMDB0000898;HMDB0000214;HMDB0000715;HMDB0000725;HMDB0004160;HMDB0000191;HMDB0000299;HMDB0002939;HMDB0000128;HMDB0000792;HMDB0000045;HMDB0000099;HMDB0001406;HMDB0000064;HMDB0003345;HMDB0000020;HMDB0000888;HMDB0000230;HMDB0011502;HMDB0000162;HMDB0000148;HMDB0004327;HMDB0000164;HMDB0000201;HMDB0000990;HMDB0000926;HMDB0000317;HMDB0000167;HMDB0000904	0.3927458202199263	0.05815831987075929	1.4157202962073765	0.4139470606994792	0.4139470606994792
Pervasive developmental disorder not otherwise specified	HMDB0000039;HMDB0000042;HMDB0000108;HMDB0000228;HMDB0000237;HMDB0000466;HMDB0000474;HMDB0000535;HMDB0000666;HMDB0000718;HMDB0000738;HMDB0000753;HMDB0000798;HMDB0000892;HMDB0001140;HMDB0001183;HMDB0001485;HMDB0001505;HMDB0001858;HMDB0002176;HMDB0002939;HMDB0003352;HMDB0003375;HMDB0004814;HMDB0005812;HMDB0005879;HMDB0006115;HMDB0006236;HMDB0013036;HMDB0013780;HMDB0013825;HMDB0029596;HMDB0029980;HMDB0030028;HMDB0030058;HMDB0030331;HMDB0031207;HMDB0031217;HMDB0031230;HMDB0031248;HMDB0031417;HMDB0031478;HMDB0031479;HMDB0031481;HMDB0031523;HMDB0031580;HMDB0032042;HMDB0032063;HMDB0032619;HMDB0033620;HMDB0033676;HMDB0033774;HMDB0033889;HMDB0033890;HMDB0033908;HMDB0033944;HMDB0034163;HMDB0034165;HMDB0034168;HMDB0034606;HMDB0036574;HMDB0037050;HMDB0039618;HMDB0039620;HMDB0040209;HMDB0040240;HMDB0040297;HMDB0059835;HMDB0059851;HMDB0062119;HMDB0094654;HMDB0094658;HMDB0094659;HMDB0094660;HMDB0094661;HMDB0094665;HMDB0094669;HMDB0094670;HMDB0094685;HMDB0094691;HMDB0094705;HMDB0094707	82	2	HMDB0002939;HMDB0000738	0.9366602687140102	0.021912350597609563	1.4501682926865507	0.42154778356543005	0.42154778356543005
N-acetylglutamate synthetase deficiency	HMDB0000051;HMDB0000123;HMDB0000148;HMDB0000161;HMDB0000214;HMDB0000226;HMDB0000517;HMDB0000641;HMDB0000904;HMDB0041827	10	6	HMDB0000904;HMDB0000123;HMDB0000214;HMDB0000051;HMDB0000148;HMDB0000517	0.6440331969354991	0.09647495361781076	1.4292362871507478	0.42413704080547926	0.42413704080547926
Cystic fibrosis	HMDB0000064;HMDB0000138;HMDB0000156;HMDB0000168;HMDB0000292;HMDB0000511;HMDB0000518;HMDB0000562;HMDB0000619;HMDB0000626;HMDB0000638;HMDB0000761;HMDB0000943;HMDB0000946;HMDB0002174;HMDB0006695;HMDB0011733;HMDB0013248;HMDB0015217;HMDB0028843;HMDB0028850;HMDB0032538;HMDB0032572;HMDB0032574	24	3	HMDB0000064;HMDB0013248;HMDB0011733	0.7854039607146814	0.09551656920077972	1.3574311662644891	0.4714786860848304	0.4714786860848304
Hypertension	HMDB0000076;HMDB0000300;HMDB0000673;HMDB0001035;HMDB0001036;HMDB0001043;HMDB0001388;HMDB0001999;HMDB0002183;HMDB0004825;HMDB0004826;HMDB0004989;HMDB0005199;HMDB0005998;HMDB0010345;HMDB0015532	16	4	HMDB0005998;HMDB0001035;HMDB0005199;HMDB0004989	0.7604578267016908	0.05847953216374269	1.4520400710321026	0.5014138407568832	0.5014138407568832
Crohn's disease	HMDB0000011;HMDB0000012;HMDB0000014;HMDB0000017;HMDB0000020;HMDB0000033;HMDB0000034;HMDB0000036;HMDB0000039;HMDB0000042;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000054;HMDB0000056;HMDB0000058;HMDB0000060;HMDB0000064;HMDB0000089;HMDB0000092;HMDB0000094;HMDB0000097;HMDB0000098;HMDB0000099;HMDB0000108;HMDB0000112;HMDB0000123;HMDB0000128;HMDB0000130;HMDB0000131;HMDB0000133;HMDB0000138;HMDB0000139;HMDB0000148;HMDB0000157;HMDB0000158;HMDB0000159;HMDB0000161;HMDB0000162;HMDB0000164;HMDB0000167;HMDB0000168;HMDB0000172;HMDB0000175;HMDB0000177;HMDB0000182;HMDB0000187;HMDB0000190;HMDB0000191;HMDB0000195;HMDB0000201;HMDB0000209;HMDB0000210;HMDB0000214;HMDB0000224;HMDB0000226;HMDB0000228;HMDB0000237;HMDB0000239;HMDB0000247;HMDB0000251;HMDB0000254;HMDB0000258;HMDB0000292;HMDB0000299;HMDB0000300;HMDB0000306;HMDB0000317;HMDB0000379;HMDB0000462;HMDB0000466;HMDB0000472;HMDB0000474;HMDB0000477;HMDB0000482;HMDB0000510;HMDB0000517;HMDB0000535;HMDB0000555;HMDB0000562;HMDB0000577;HMDB0000619;HMDB0000630;HMDB0000641;HMDB0000651;HMDB0000666;HMDB0000684;HMDB0000687;HMDB0000696;HMDB0000714;HMDB0000715;HMDB0000718;HMDB0000719;HMDB0000725;HMDB0000738;HMDB0000756;HMDB0000763;HMDB0000764;HMDB0000791;HMDB0000819;HMDB0000820;HMDB0000824;HMDB0000826;HMDB0000827;HMDB0000845;HMDB0000847;HMDB0000863;HMDB0000883;HMDB0000892;HMDB0000898;HMDB0000904;HMDB0000906;HMDB0000925;HMDB0000929;HMDB0000951;HMDB0000982;HMDB0000990;HMDB0001049;HMDB0001051;HMDB0001140;HMDB0001257;HMDB0001406;HMDB0001414;HMDB0001453;HMDB0001488;HMDB0001548;HMDB0001659;HMDB0001858;HMDB0001873;HMDB0001875;HMDB0001906;HMDB0001993;HMDB0002176;HMDB0002303;HMDB0002322;HMDB0002714;HMDB0003227;HMDB0003315;HMDB0003334;HMDB0003339;HMDB0003366;HMDB0003407;HMDB0003543;HMDB0003671;HMDB0004158;HMDB0004160;HMDB0004327;HMDB0005842;HMDB0005879;HMDB0005994;HMDB0006115;HMDB0006236;HMDB0006478;HMDB0006483;HMDB0007103;HMDB0007175;HMDB0008591;HMDB0010340;HMDB0011144;HMDB0011154;HMDB0011469;HMDB0011635;HMDB0011738;HMDB0011749;HMDB0012275;HMDB0012971;HMDB0013780;HMDB0013785;HMDB0013811;HMDB0013824;HMDB0028732;HMDB0028757;HMDB0028805;HMDB0029147;HMDB0029167;HMDB0029595;HMDB0029597;HMDB0029600;HMDB0029603;HMDB0029641;HMDB0029728;HMDB0029762;HMDB0030028;HMDB0030058;HMDB0030059;HMDB0030062;HMDB0031019;HMDB0031206;HMDB0031207;HMDB0031217;HMDB0031231;HMDB0031243;HMDB0031266;HMDB0031294;HMDB0031299;HMDB0031317;HMDB0031343;HMDB0031409;HMDB0031450;HMDB0031475;HMDB0031523;HMDB0031528;HMDB0031549;HMDB0031598;HMDB0031872;HMDB0032076;HMDB0032980;HMDB0033002;HMDB0033119;HMDB0033182;HMDB0033713;HMDB0033889;HMDB0033890;HMDB0033910;HMDB0034220;HMDB0034235;HMDB0035238;HMDB0035619;HMDB0035765;HMDB0035850;HMDB0035915;HMDB0035924;HMDB0036209;HMDB0036413;HMDB0036574;HMDB0036994;HMDB0037050;HMDB0039095;HMDB0039843;HMDB0041389;HMDB0059835;HMDB0059848;HMDB0059899;HMDB0059905;HMDB0059907;HMDB0061851;HMDB0094666	237	32	HMDB0000064;HMDB0000123;HMDB0000254;HMDB0000128;HMDB0000990;HMDB0001406;HMDB0000299;HMDB0000725;HMDB0000214;HMDB0000020;HMDB0004327;HMDB0004160;HMDB0000763;HMDB0000738;HMDB0000162;HMDB0000164;HMDB0000317;HMDB0000148;HMDB0000191;HMDB0000898;HMDB0010340;HMDB0005842;HMDB0000158;HMDB0000045;HMDB0000099;HMDB0000715;HMDB0000826;HMDB0000201;HMDB0000167;HMDB0000904;HMDB0028805;HMDB0000517	0.45547255071465287	0.02866779089376054	1.5757393473384749	0.5238652067609227	0.5238652067609227
Lung Cancer	HMDB0000020;HMDB0000042;HMDB0000043;HMDB0000062;HMDB0000064;HMDB0000072;HMDB0000094;HMDB0000097;HMDB0000098;HMDB0000108;HMDB0000115;HMDB0000123;HMDB0000134;HMDB0000142;HMDB0000157;HMDB0000161;HMDB0000187;HMDB0000207;HMDB0000251;HMDB0000252;HMDB0000254;HMDB0000258;HMDB0000448;HMDB0000640;HMDB0000673;HMDB0000699;HMDB0000714;HMDB0000729;HMDB0000754;HMDB0000765;HMDB0000875;HMDB0000883;HMDB0000925;HMDB0000956;HMDB0000958;HMDB0001032;HMDB0001565;HMDB0001659;HMDB0001881;HMDB0003073;HMDB0006270	41	7	HMDB0000123;HMDB0000064;HMDB0000956;HMDB0000020;HMDB0000254;HMDB0000754;HMDB0000134	0.566681309445322	0.1618705035971223	1.3278290069034802	0.5368342723503774	0.5368342723503774
Eosinophilic esophagitis	HMDB0000001;HMDB0000005;HMDB0000008;HMDB0000011;HMDB0000012;HMDB0000017;HMDB0000020;HMDB0000023;HMDB0000030;HMDB0000033;HMDB0000034;HMDB0000039;HMDB0000042;HMDB0000043;HMDB0000044;HMDB0000050;HMDB0000056;HMDB0000060;HMDB0000062;HMDB0000064;HMDB0000071;HMDB0000072;HMDB0000073;HMDB0000079;HMDB0000087;HMDB0000092;HMDB0000094;HMDB0000097;HMDB0000098;HMDB0000099;HMDB0000101;HMDB0000108;HMDB0000112;HMDB0000115;HMDB0000118;HMDB0000122;HMDB0000123;HMDB0000128;HMDB0000130;HMDB0000131;HMDB0000133;HMDB0000134;HMDB0000139;HMDB0000142;HMDB0000143;HMDB0000148;HMDB0000149;HMDB0000156;HMDB0000157;HMDB0000158;HMDB0000159;HMDB0000161;HMDB0000162;HMDB0000163;HMDB0000164;HMDB0000167;HMDB0000168;HMDB0000169;HMDB0000172;HMDB0000174;HMDB0000176;HMDB0000177;HMDB0000181;HMDB0000182;HMDB0000186;HMDB0000187;HMDB0000190;HMDB0000191;HMDB0000192;HMDB0000193;HMDB0000194;HMDB0000195;HMDB0000197;HMDB0000201;HMDB0000202;HMDB0000206;HMDB0000208;HMDB0000209;HMDB0000210;HMDB0000211;HMDB0000214;HMDB0000220;HMDB0000222;HMDB0000224;HMDB0000228;HMDB0000232;HMDB0000237;HMDB0000239;HMDB0000243;HMDB0000244;HMDB0000247;HMDB0000251;HMDB0000254;HMDB0000258;HMDB0000259;HMDB0000267;HMDB0000271;HMDB0000272;HMDB0000273;HMDB0000283;HMDB0000291;HMDB0000292;HMDB0000294;HMDB0000300;HMDB0000301;HMDB0000306;HMDB0000317;HMDB0000355;HMDB0000375;HMDB0000407;HMDB0000422;HMDB0000423;HMDB0000439;HMDB0000440;HMDB0000448;HMDB0000450;HMDB0000452;HMDB0000462;HMDB0000479;HMDB0000484;HMDB0000491;HMDB0000500;HMDB0000510;HMDB0000511;HMDB0000517;HMDB0000522;HMDB0000555;HMDB0000557;HMDB0000564;HMDB0000568;HMDB0000574;HMDB0000593;HMDB0000619;HMDB0000622;HMDB0000625;HMDB0000635;HMDB0000639;HMDB0000640;HMDB0000641;HMDB0000646;HMDB0000651;HMDB0000660;HMDB0000661;HMDB0000663;HMDB0000669;HMDB0000676;HMDB0000678;HMDB0000679;HMDB0000682;HMDB0000684;HMDB0000687;HMDB0000691;HMDB0000694;HMDB0000695;HMDB0000696;HMDB0000699;HMDB0000700;HMDB0000703;HMDB0000710;HMDB0000714;HMDB0000715;HMDB0000718;HMDB0000719;HMDB0000720;HMDB0000721;HMDB0000725;HMDB0000729;HMDB0000731;HMDB0000746;HMDB0000754;HMDB0000755;HMDB0000763;HMDB0000765;HMDB0000784;HMDB0000792;HMDB0000812;HMDB0000821;HMDB0000824;HMDB0000827;HMDB0000857;HMDB0000858;HMDB0000863;HMDB0000870;HMDB0000875;HMDB0000881;HMDB0000883;HMDB0000892;HMDB0000893;HMDB0000904;HMDB0000906;HMDB0000925;HMDB0000929;HMDB0000939;HMDB0000943;HMDB0000954;HMDB0000958;HMDB0001123;HMDB0001138;HMDB0001149;HMDB0001341;HMDB0001348;HMDB0001401;HMDB0001414;HMDB0001511;HMDB0001522;HMDB0001659;HMDB0001713;HMDB0001844;HMDB0001847;HMDB0001857;HMDB0001858;HMDB0001859;HMDB0001860;HMDB0001867;HMDB0001870;HMDB0001871;HMDB0001873;HMDB0001875;HMDB0001878;HMDB0001881;HMDB0001885;HMDB0001886;HMDB0001895;HMDB0001925;HMDB0001987;HMDB0002005;HMDB0002013;HMDB0002014;HMDB0002107;HMDB0002372;HMDB0002432;HMDB0002453;HMDB0002643;HMDB0003243;HMDB0003357;HMDB0003391;HMDB0003646;HMDB0003911;HMDB0004983;HMDB0006029;HMDB0006116;HMDB0006344;HMDB0007867;HMDB0007872;HMDB0007879;HMDB0007880;HMDB0007881;HMDB0007883;HMDB0007886;HMDB0007887;HMDB0007889;HMDB0007890;HMDB0007892;HMDB0007893;HMDB0007894;HMDB0007903;HMDB0007921;HMDB0007988;HMDB0007989;HMDB0007991;HMDB0008020;HMDB0008026;HMDB0008054;HMDB0008055;HMDB0008057;HMDB0008058;HMDB0008059;HMDB0008086;HMDB0008092;HMDB0008191;HMDB0008257;HMDB0008288;HMDB0010169;HMDB0010382;HMDB0010383;HMDB0010384;HMDB0010386;HMDB0010395;HMDB0011151;HMDB0011635;HMDB0011697;HMDB0011698;HMDB0011743;HMDB0012101;HMDB0012107;HMDB0012108;HMDB0013128;HMDB0013331;HMDB0013341;HMDB0013402;HMDB0013404;HMDB0013405;HMDB0013406;HMDB0013407;HMDB0013408;HMDB0013409;HMDB0013411;HMDB0013412;HMDB0013413;HMDB0013414;HMDB0013415;HMDB0013416;HMDB0013418;HMDB0013420;HMDB0013422;HMDB0013425;HMDB0013431;HMDB0013432;HMDB0013433;HMDB0013434;HMDB0013437;HMDB0013438;HMDB0013440;HMDB0013442;HMDB0013444;HMDB0013446;HMDB0013449;HMDB0013450;HMDB0013451;HMDB0013453;HMDB0013456;HMDB0013458;HMDB0013461;HMDB0013462;HMDB0013463;HMDB0013464;HMDB0013465;HMDB0013466;HMDB0013467;HMDB0013468;HMDB0013469;HMDB0013678;HMDB0030396;HMDB0059655	334	50	HMDB0007989;HMDB0000660;HMDB0000044;HMDB0000148;HMDB0001341;HMDB0000294;HMDB0008059;HMDB0000254;HMDB0000725;HMDB0000635;HMDB0000682;HMDB0000214;HMDB0000064;HMDB0000134;HMDB0000792;HMDB0007887;HMDB0000904;HMDB0000939;HMDB0000754;HMDB0013466;HMDB0000191;HMDB0000273;HMDB0013465;HMDB0001925;HMDB0000162;HMDB0000020;HMDB0000731;HMDB0000517;HMDB0000211;HMDB0000232;HMDB0000128;HMDB0013431;HMDB0000164;HMDB0000099;HMDB0000715;HMDB0001511;HMDB0000208;HMDB0000158;HMDB0002643;HMDB0000123;HMDB0000574;HMDB0000858;HMDB0000201;HMDB0003391;HMDB0000122;HMDB0001348;HMDB0000763;HMDB0013418;HMDB0000167;HMDB0000317	0.3470862923050359	0.09602649006622517	1.304295722163725	0.5430244253461007	0.5430244253461007
Isovaleric acidemia	HMDB0000207;HMDB0000339;HMDB0000379;HMDB0000562;HMDB0000673;HMDB0000678;HMDB0000688;HMDB0000718;HMDB0001043;HMDB0001388;HMDB0001844;HMDB0001976;HMDB0001999;HMDB0002011;HMDB0002068;HMDB0002183;HMDB0002186;HMDB0002226;HMDB0002368;HMDB0002925;HMDB0003073;HMDB0003229;HMDB0003231;HMDB0005060;HMDB0006528;HMDB0010378;HMDB0013128	27	2	HMDB0000688;HMDB0002226	0.8475801886468779	0.10756972111553785	1.3122515773755723	0.5530987562453492	0.5530987562453492
Alcoholism	HMDB0000108;HMDB0000210;HMDB0000235;HMDB0000244;HMDB0000474;HMDB0000863;HMDB0000879;HMDB0000990;HMDB0001449;HMDB0001488;HMDB0001659;HMDB0001830;HMDB0001875;HMDB0001993;HMDB0002961;HMDB0003759;HMDB0006088;HMDB0011469	18	1	HMDB0000990	0.947267497603068	0.11178861788617886	1.266079419072871	0.6018213387193935	0.6018213387193935
Diverticular disease	HMDB0000039;HMDB0000042;HMDB0000097;HMDB0000108;HMDB0000122;HMDB0000123;HMDB0000134;HMDB0000142;HMDB0000148;HMDB0000161;HMDB0000164;HMDB0000215;HMDB0000300;HMDB0000375;HMDB0000696;HMDB0000718;HMDB0000883;HMDB0000892;HMDB0000906;HMDB0001406;HMDB0001875;HMDB0001993;HMDB0040733	23	6	HMDB0000148;HMDB0000122;HMDB0000123;HMDB0000134;HMDB0001406;HMDB0000164	0.5429254288433205	0.24304267161410018	1.204858270989825	0.6309184649728925	0.6309184649728925
Hepatocellular carcinoma	HMDB0000036;HMDB0000157;HMDB0000277;HMDB0000294;HMDB0000467;HMDB0000518;HMDB0000631;HMDB0000896;HMDB0001452;HMDB0002497;HMDB0002917;HMDB0003331;HMDB0004157;HMDB0004160;HMDB0010382;HMDB0010384;HMDB0011511;HMDB0012325	18	3	HMDB0000294;HMDB0000896;HMDB0004160	0.7151749893128367	0.21637426900584794	1.2360528700959612	0.6395612778969354	0.6395612778969354
